?_MCP (°),?_PIP (°),?_DIP (°)
-36.205,-34.77857127,-36.46791892
-36.206,-34.77938582,-36.46877307
-36.207,-34.78020042,-36.46962724
-36.208,-34.78101495,-36.47048136
-36.209,-34.78182953,-36.47133551
-36.21,-34.78264405,-36.47218962
-36.211,-34.7834586,-36.47304375
-36.212,-34.7842731,-36.47389783
-36.213,-34.78508764,-36.47475193
-36.214,-34.78590211,-36.475606
-36.215,-34.78671663,-36.47646008
-36.216,-34.78753108,-36.47731412
-36.217,-34.78834558,-36.47816819
-36.218,-34.78916001,-36.47902221
-36.219,-34.78997449,-36.47987625
-36.22,-34.7907889,-36.48073025
-36.221,-34.79160336,-36.48158427
-36.222,-34.79241775,-36.48243825
-36.223,-34.79323219,-36.48329225
-36.224,-34.79404656,-36.48414621
-36.225,-34.79486098,-36.48500019
-36.226,-34.79567533,-36.48585412
-36.227,-34.79648973,-36.48670808
-36.228,-34.79730406,-36.48756199
-36.229,-34.79811844,-36.48841593
-36.23,-34.79893275,-36.48926983
-36.231,-34.79974711,-36.49012374
-36.232,-34.8005614,-36.49097761
-36.233,-34.80137574,-36.49183151
-36.234,-34.80219001,-36.49268536
-36.235,-34.80300433,-36.49353924
-36.236,-34.80381858,-36.49439307
-36.237,-34.80463288,-36.49524692
-36.238,-34.80544711,-36.49610073
-36.239,-34.80626139,-36.49695456
-36.24,-34.8070756,-36.49780835
-36.241,-34.80788986,-36.49866216
-36.242,-34.80870405,-36.49951593
-36.243,-34.80951829,-36.50036972
-36.244,-34.81033246,-36.50122346
-36.245,-34.81114667,-36.50207723
-36.246,-34.81196083,-36.50293096
-36.247,-34.81277502,-36.5037847
-36.248,-34.81358915,-36.50463841
-36.249,-34.81440333,-36.50549214
-36.25,-34.81521744,-36.50634582
-36.251,-34.8160316,-36.50719952
-36.252,-34.81684569,-36.50805318
-36.253,-34.81765983,-36.50890687
-36.254,-34.8184739,-36.50976051
-36.255,-34.81928801,-36.51061417
